,feature,importance
11,X,256
12,Y,242
0,Cell X,232
1,Cell Y,207
23,X_count,191
24,Y_count,181
26,Building Height_count,158
2,Height,156
8,Cell Altitude,128
3,Azimuth,125
17,d,120
20,len,115
22,theta,87
9,Cell Building Height,73
14,Building Height,71
7,RS Power,68
27,Clutter Index_count,66
19,hv,63
13,Altitude,61
5,Mechanical Downtilt,60
4,Electrical Downtilt,59
25,Altitude_count,59
10,Cell Clutter Index,56
15,Clutter Index,35
31,CellClutterIndex_7,20
16,hb,16
6,Frequency Band,12
44,ClutterIndex_6,8
36,CellClutterIndex_13,8
30,CellClutterIndex_6,8
33,CellClutterIndex_10,7
35,CellClutterIndex_12,7
49,ClutterIndex_12,7
32,CellClutterIndex_8,6
40,CellClutterIndex_17,6
45,ClutterIndex_7,5
46,ClutterIndex_8,5
43,ClutterIndex_5,5
29,CellClutterIndex_5,4
28,CellClutterIndex_2,3
38,CellClutterIndex_15,2
37,CellClutterIndex_14,2
39,CellClutterIndex_16,0
41,CellClutterIndex_18,0
42,ClutterIndex_2,0
34,CellClutterIndex_11,0
21,lghb,0
47,ClutterIndex_10,0
48,ClutterIndex_11,0
18,lgd,0
50,ClutterIndex_13,0
51,ClutterIndex_14,0
52,ClutterIndex_15,0
53,ClutterIndex_16,0
54,ClutterIndex_17,0
55,ClutterIndex_18,0
